,State_Name,City,Zip_Code,Mean,Median,Stdev,Lat,Lon
77,Alabama,Tuscaloosa,35401,24931,12361,34393,33.2031136,-87.5527647
78,Alabama,Tuscaloosa,35404,60252,45803,55310,33.1807268,-87.4937929
79,Alabama,Holt,35404,53301,40174,43882,33.2184585,-87.495102
80,Alabama,Nauvoo,35578,40072,29226,37412,33.9445989,-87.4646876
81,Alabama,Lanett,36863,35951,23009,38779,32.8580358,-85.2066713
82,Alabama,Millry,36558,48623,40342,41443,31.6256633,-88.3415656
83,Alabama,Arley,35541,49046,36818,42393,34.0964418,-87.2271905
84,Alabama,Prattville,36067,58180,51927,40722,32.4740243,-86.4597033
85,Alabama,Elmore,36025,41464,35150,30951,32.4473511,-86.4768097
86,Alabama,Marbury,36051,59061,300000,36002,32.6385222,-86.5148731
87,Alabama,Perdido,36562,55216,43407,52450,31.1104762,-87.7868713
88,Alabama,Bay Minette,36507,36474,24377,31702,30.8969612,-87.7737368
89,Alabama,Daphne,36526,107603,97539,63498,30.6478335,-87.8437739
90,Alabama,Loxley,36551,50583,41882,37860,30.6114771,-87.7725676
91,Alabama,Robertsdale,36567,69996,300000,37937,30.5641292,-87.6870074
92,Alabama,Clanton,35045,56638,41768,48428,32.8695805,-86.6588881
93,Alabama,Fairhope,36532,67864,52050,64026,30.5408065,-87.891618
94,Alabama,Foley,36535,71445,58784,51329,30.3802759,-87.7703177
95,Alabama,Gulf Shores,36547,65583,300000,59906,30.2696285,-87.637277
96,Alabama,Foley,36535,49212,300000,21308,30.3798842,-87.6650569
97,Alabama,Pensacola,32506,57395,46769,46123,30.4111645,-87.4511185
98,Alabama,Clayton,36016,56947,45615,47083,31.6794432,-85.5577196
99,Alabama,Eufaula,36027,43222,26304,47072,31.92041,-85.1757409
100,Alabama,Brent,35034,67555,54574,61374,32.9533249,-87.0043466
101,Alabama,Oneonta,35121,34855,32407,21562,33.8723927,-86.4590322
102,Alabama,Cleveland,35049,56385,49459,39388,33.9974352,-86.544238
103,Alabama,Gilbertown,36908,53998,39956,48887,31.9275928,-88.3326295
104,Alabama,Blountsville,35031,47717,30660,46395,34.0336235,-86.6373178
105,Alabama,Hayden,35079,58684,47284,39926,33.9036637,-86.7813122
106,Alabama,Union Springs,36089,30765,25206,26768,32.0821273,-85.8274935
107,Alabama,Greenville,36037,30564,21911,23037,31.7968287,-86.6541421
108,Alabama,Mckenzie,36456,36333,27877,29844,31.575083,-86.6086952
109,Alabama,Anniston,36201,27581,15743,28241,33.6421021,-85.8410233
110,Alabama,Anniston,36207,55336,41259,45442,33.6345617,-85.7901308
111,Alabama,Oxford,36203,54371,46871,46868,33.6111325,-85.8764727
112,Alabama,Anniston,36201,49509,48881,28239,33.6132515,-85.9253597
113,Alabama,Jacksonville,36265,46650,41809,29011,33.7661796,-85.7864612
114,Alabama,Jackson,36545,40352,30601,39286,31.3573817,-87.8407503
115,Alabama,Jacksonville,36265,33803,13029,35858,33.8369688,-85.7723498
116,Alabama,Piedmont,36272,35282,27332,29556,33.8952637,-85.5983598
117,Alabama,Alexandria,36250,72487,64034,45909,33.7837754,-85.9002899
119,Alabama,Lafayette,36862,45966,300000,34017,32.8660782,-85.4616055
120,Alabama,Lanett,36863,38000,30130,30948,32.7766468,-85.2734917
121,Alabama,Valley,36854,44019,27057,50751,32.8362807,-85.1725763
122,Alabama,Sand Rock,35983,57239,43170,47243,34.1991534,-85.7578347
123,Alabama,Spring Garden,36275,51542,300000,60348,34.0861716,-85.5068892
124,Alabama,Clanton,35045,54388,37212,48573,32.8695805,-86.6588881
125,Alabama,Jack,36346,47550,35327,39518,31.5375844,-85.8984006
126,Alabama,Jemison,35085,40648,33316,32761,32.9910458,-86.8010803
127,Alabama,Verbena,36091,67265,46110,59481,32.7592425,-86.5260002
128,Alabama,Butler,36904,55952,40705,54619,32.0656633,-88.2128479
129,Alabama,Thomasville,36784,40451,36477,28494,31.7929013,-87.6425154
130,Alabama,Robertsdale,36567,64173,45281,57389,30.7200267,-87.6245437
131,Alabama,Grove Hill,36451,50714,38228,55570,31.6170174,-87.6979772
132,Alabama,Jackson,36545,40592,23781,37971,31.5011616,-87.8723338
133,Alabama,Ashland,36251,44628,35064,33198,33.1785156,-85.7815679
134,Alabama,Heflin,36264,31459,25199,32837,33.6989979,-85.5727972
135,Alabama,Jack,36346,51782,34974,43086,31.5375844,-85.8984006
136,Alabama,Kinston,36453,46792,30746,46019,31.2721909,-86.1506243
137,Alabama,Enterprise,36330,88951,84211,56279,31.3627415,-85.8358304
138,Alabama,Enterprise,36330,61449,49254,51536,31.3627415,-85.8358304
139,Alabama,Sheffield,35660,51659,42586,39138,34.7708294,-87.6799629
140,Alabama,Tuscumbia,35674,46357,300000,26728,34.7403319,-87.7337767
141,Alabama,Muscle Shoals,35662,72532,65185,55384,34.7242107,-87.6264192
142,Alabama,Leighton,35646,51460,38525,36757,34.774634,-87.5053473
143,Alabama,Tuscumbia,35674,44527,38139,36681,34.6686652,-87.822804
144,Alabama,Castleberry,36432,31633,28982,24289,31.3411108,-87.0387457
145,Alabama,Rockford,35136,33042,23325,31099,32.9929287,-86.0738794
146,Alabama,Andalusia,36421,53559,300000,24136,31.4420655,-86.3998913
147,Alabama,Andalusia,36421,58835,41801,49863,31.3443958,-86.463852
148,Alabama,Muscle Shoals,35661,61868,56246,44831,34.7471222,-87.6398474
149,Alabama,Opp,36467,46327,31463,35525,31.3570171,-86.2401037
150,Alabama,Opp,36467,60141,43585,50751,31.1810184,-86.2787253
151,Alabama,Luverne,36049,40683,28886,35812,31.7244285,-86.3608435
152,Alabama,Baileyton,35019,61900,65528,43897,34.2616429,-86.5683185
153,Alabama,Vinemont,35179,53673,39630,49847,34.2715006,-86.8345066
154,Alabama,Cullman,35055,63213,300000,38851,34.1565069,-86.8940425
155,Alabama,Cullman,35055,37893,28850,37859,34.2012855,-86.8254882
156,Alabama,Cullman,35055,44858,32959,41497,34.117682,-86.7963608
157,Alabama,Garden City,35070,43726,28444,38686,33.9980493,-86.7870516
158,Alabama,Ft Rucker,36362,68310,59974,38238,31.4097368,-85.7458071
159,Alabama,Evergreen,36401,34206,16878,39063,31.4626914,-86.9984985
160,Alabama,Ozark,36360,65625,49674,60856,31.4833011,-85.6497139
161,Alabama,Ozark,36360,31645,31497,20477,31.4149425,-85.6413488
162,Alabama,Daleville,36322,58239,61815,49004,31.3021556,-85.7056542
163,Alabama,Midland City,36350,42703,33772,31328,31.3374977,-85.4657416
164,Alabama,Selma,36703,65458,45588,47564,32.5526588,-87.0352646
165,Alabama,Selma,36701,23614,15982,20480,32.4157042,-87.0280529
166,Alabama,Orrville,36767,30567,20489,27688,32.3256691,-87.2191795
167,Alabama,Selma,36701,26582,19843,18440,32.3277469,-86.8942838
168,Alabama,Rainsville,36986,47226,37458,34391,34.5326223,-85.8630796
169,Alabama,Fyffe,35971,41338,40569,19063,34.4340842,-85.9687233
170,Alabama,Andalusia,36421,42170,26135,46568,31.326445,-86.507274
171,Alabama,Crossville,35962,50821,54135,34788,34.2571822,-86.025488
172,Alabama,Ft Payne,35967,46422,40662,30381,34.3660315,-85.6964687
173,Alabama,Fort Payne,35967,57662,300000,30695,34.4574952,-85.635214
174,Alabama,Deatsville,36022,55257,50235,34870,32.6948549,-86.2223176
175,Alabama,Eclectic,36024,51818,50579,30368,32.6328834,-86.0345965
176,Alabama,Wetumpka,36092,81059,49903,70277,32.5201384,-86.1722101
177,Alabama,Millbrook,36054,57221,48383,41222,32.4977055,-86.3883595
178,Alabama,East Brewton,36426,42831,40855,32957,31.0992573,-86.9105903
179,Alabama,Brewton,36426,63662,57710,42797,31.190044,-87.0635248
180,Alabama,Atmore,36504,31072,23243,22228,31.0717073,-87.4897027
181,Alabama,Highland Home,36041,51077,47797,40234,31.949642,-86.3651124
182,Alabama,Gadsden,35901,36536,23911,38627,34.0321863,-85.9730613
183,Alabama,Gadsden,35901,65909,49884,54872,34.0476407,-86.0342629
184,Alabama,Gadsden,35904,32898,19505,32387,34.0003469,-86.0427603
185,Alabama,Gadsden,35901,42144,34726,33731,33.9993815,-86.010319
186,Alabama,Gadsden,35904,31929,22709,23582,34.064083,-86.0661828
187,Alabama,Rainbow City,35906,50735,39380,40435,33.9640619,-86.041835
188,Alabama,Glencoe,35905,55639,300000,47971,33.918413,-85.9183325
189,Alabama,Attalla,35954,59416,46048,45916,34.1470152,-86.0149509
190,Alabama,Gadsden,35903,24359,22809,14966,34.0013946,-85.9674865
191,Alabama,Fayette,35555,40956,28972,44086,33.7012455,-87.8909439
192,Alabama,Vinemont,35179,52592,38743,40883,34.1589207,-86.9571734
193,Alabama,Berry,35546,54116,32380,54325,33.6476543,-87.6143541
194,Alabama,Russellville,35653,78787,48388,70841,34.5125993,-87.7533372
195,Alabama,Vina,35593,37300,300000,28404,34.4392881,-88.0399565
196,Alabama,Samson,36477,37651,27315,36312,31.0847817,-86.0861751
197,Alabama,Hartford,36344,26922,20881,23141,31.0696505,-85.7368633
198,Alabama,Slocomb,36375,53395,42052,42981,31.0860719,-85.5280322
199,Alabama,Boligee,35443,24591,16667,25982,32.6861323,-87.9472665
200,Alabama,Greensboro,36744,43686,28110,51574,32.6514361,-87.6504698
201,Alabama,Fort Gaines,39851,47014,41328,37305,31.6127173,-85.1367411
202,Alabama,Newton,36352,69416,53258,59746,31.2347868,-85.5932271
203,Alabama,Cullman,35057,62728,53463,53245,34.0103921,-86.9102548
204,Alabama,Dothan,36303,58553,45033,42907,31.2531951,-85.4134185
205,Alabama,Dothan,36301,57312,45442,44993,31.2200822,-85.4193412
206,Alabama,Dothan,36301,66532,53439,51825,31.1821874,-85.3530797
207,Alabama,Dothan,36303,34057,24260,28608,31.2388804,-85.3512422
208,Alabama,Webb,36376,49175,37902,46107,31.268835,-85.2759901
209,Alabama,Ashford,36312,54235,42227,43566,31.1644974,-85.24685
210,Alabama,Higdon,35979,77322,45128,78600,34.8513417,-85.7000137
211,Alabama,Stevenson,35772,31235,21391,27591,34.8863961,-85.9296764
212,Alabama,Scottsboro,35768,50287,42093,36400,34.7615314,-86.0476196
213,Alabama,Scottsboro,35768,42148,32599,35347,34.6633617,-86.0358725
214,Alabama,Ozark,36360,51326,42647,33653,31.3971308,-85.6615834
215,Alabama,Section,35771,40859,30827,37250,34.5699175,-85.9716149
216,Alabama,Birmingham,35212,38145,28550,35605,33.5428209,-86.752434
217,Alabama,Birmingham,35212,30222,28006,20606,33.5442405,-86.7749128
218,Alabama,Birmingham,35214,18832,16684,11537,33.5423337,-86.8765161
219,Alabama,Birmingham,35204,29489,29052,15838,33.5261497,-86.8351469
220,Alabama,Birmingham,35212,29126,23435,18632,33.553205,-86.7429805
221,Alabama,Birmingham,35212,43931,37499,31846,33.5521302,-86.727676
222,Alabama,Birmingham,35202,25675,12611,26789,33.5260747,-86.7830317
223,Alabama,Birmingham,35204,30849,26300,28077,33.5132498,-86.8300472
224,Alabama,Birmingham,35218,68538,43322,63552,33.5059585,-86.8745531
225,Alabama,Selma,36701,36740,25083,33276,32.4484185,-87.0509577
226,Alabama,Birmingham,35218,33091,21929,33637,33.5052228,-86.9014846
227,Alabama,Birmingham,35208,34319,30412,30305,33.4847637,-86.8981396
228,Alabama,Birmingham,35211,30472,14309,46679,33.4859451,-86.8696926
229,Alabama,Birmingham,35204,21753,15614,17714,33.5007439,-86.8270718
230,Alabama,Birmingham,35222,51831,34771,48141,33.5108808,-86.7744712
231,Alabama,Birmingham,35205,28327,23929,18744,33.4866689,-86.8173266
232,Alabama,Birmingham,35211,28613,19517,37732,33.4806707,-86.8508677
233,Alabama,Birmingham,35213,46565,37262,45317,33.5206824,-86.7260226
234,Alabama,Homewood,35209,28720,26633,21802,33.4775177,-86.8149403
235,Alabama,Birmingham,35215,45016,46009,26218,33.6222102,-86.6790265
236,Alabama,Selma,36701,37361,25986,38026,32.3660372,-87.026282
237,Alabama,Hueytown,35023,52337,37992,49456,33.4525316,-87.0036566
238,Alabama,Bessemer,35020,47506,46585,32547,33.4009536,-86.9632652
239,Alabama,Bessemer,35020,21283,18646,12737,33.3813794,-86.9602115
240,Alabama,Fairfield,35064,29768,27182,22343,33.4817033,-86.9143356
241,Alabama,Silverhill,36576,53701,44265,42398,30.5345606,-87.7548736
242,Alabama,Homewood,35209,142440,123075,72551,33.475966,-86.7786575
243,Alabama,Mountain Brook,35213,155368,300000,78717,33.4947146,-86.7636042
244,Alabama,Mountain Brook,35213,128504,104533,85800,33.5124499,-86.7174833
245,Alabama,Tarrant,35217,18813,17037,13371,33.5796117,-86.7705036
246,Alabama,Birmingham,35215,66500,300000,28213,33.6373216,-86.6374915
247,Alabama,Trussville,35173,70449,63764,60898,33.6062979,-86.5848428
248,Alabama,Ft Payne,35967,45113,31818,45884,34.3594477,-85.8011776
249,Alabama,Trussville,35173,80117,70762,52938,33.7258147,-86.5900686
250,Alabama,Birmingham,35220,68096,66689,38318,33.6691522,-86.6511913
251,Alabama,Kimberly,35091,80998,70230,58272,33.7826093,-86.7857118
252,Alabama,Mount Olive,35117,74951,65918,49663,33.6819146,-86.9203958
253,Alabama,Gardendale,35071,51319,42982,33344,33.6758356,-86.7966575
254,Alabama,Birmingham,35215,46171,42204,35015,33.6453495,-86.6958458
255,Alabama,Birmingham,35214,50662,40369,43229,33.5983142,-86.8788573
256,Alabama,Graysville,35073,54763,47866,30405,33.6350049,-86.9946308
257,Alabama,Pleasant Grove,35127,90511,73076,57912,33.4820282,-86.9862506
258,Alabama,Adamsville,35005,53383,47460,34172,33.5764455,-86.9673879
259,Alabama,Eclectic,36024,54558,50225,38587,32.6328834,-86.0345965
260,Alabama,Birmingham,35206,40281,24797,43647,33.5657458,-86.6703475
261,Alabama,Vestavia Hills,35243,95153,85431,61817,33.4582894,-86.7384274
262,Alabama,Vestavia Hills,35216,79077,39607,80856,33.4205046,-86.7859249
263,Alabama,Birmingham,35243,65070,53548,37505,33.4278537,-86.7318809
264,Alabama,Homewood,35209,81011,57091,75071,33.4535392,-86.795517
265,Alabama,Birmingham,35221,31871,21950,27401,33.4480924,-86.8892598
266,Alabama,Fairfield,35064,60913,300000,35897,33.4589571,-86.936987
267,Alabama,Fairfield,35064,52520,35063,48743,33.4753834,-86.9481309
268,Alabama,Bessemer,35023,77131,300000,63377,33.3897822,-87.181015
269,Alabama,Mccalla,35111,90324,88210,53865,33.2874081,-87.0030024
270,Alabama,Prattville,36066,54523,41056,42264,32.449186,-86.3730508
271,Alabama,Bessemer,35020,46829,300000,28279,33.3512428,-86.9599146
272,Alabama,Hoover,35226,128915,300000,84788,33.4013174,-86.8279736
273,Alabama,Hoover,35226,115904,103436,66951,33.3822004,-86.8552686
274,Alabama,Vernon,35592,48082,14259,58691,33.766138,-88.0979273
275,Alabama,Sheffield,35660,19898,11362,28768,34.784265,-87.6863587
276,Alabama,Florence,35630,28404,25315,18845,34.8103953,-87.6709633
277,Alabama,Florence,35630,45871,40925,26949,34.8330772,-87.6519647
278,Alabama,Florence,35630,66925,57489,39019,34.8422452,-87.7079565
279,Alabama,Florence,35633,58520,53758,32706,34.9480952,-87.7848039
280,Alabama,Florence,35634,65375,49876,45702,34.9295054,-87.63545
281,Alabama,Gadsden,35901,34479,22032,33189,34.0321863,-85.9730613
282,Alabama,Killen,35645,85950,62159,60426,34.8504713,-87.4793577
283,Alabama,Rogersville,35652,53050,39930,53937,34.8122679,-87.3043693
284,Alabama,Town Creek,35672,49453,30636,36144,34.5666247,-87.418451
285,Alabama,Trinity,35673,50558,35481,47100,34.57105,-87.2129882
286,Alabama,Mt Hope,35651,49474,34122,46748,34.4039525,-87.4562458
287,Alabama,Auburn,36830,82357,71002,63502,32.5848885,-85.4806812
288,Alabama,Auburn,36830,34498,23556,36377,32.5955157,-85.4933037
289,Alabama,Auburn,36830,44489,300000,29855,32.6207235,-85.468112
290,Alabama,Opelika,36801,71907,300000,48918,32.7027529,-85.3847912
291,Alabama,Opelika,36801,60292,300000,43525,32.6314047,-85.3521047
292,Alabama,Gadsden,35901,40819,28402,42411,33.9993815,-86.010319
293,Alabama,Salem,36874,56743,51524,41271,32.5985333,-85.1564072
294,Alabama,Smiths Station,36877,42186,29698,47342,32.5103593,-85.118585
295,Alabama,Athens,35613,84102,78280,48448,34.8681621,-86.8659585
296,Alabama,Elkmont,35620,52624,47441,40626,34.9326041,-86.9769708
297,Alabama,Athens,35611,43849,30742,37222,34.8025463,-86.9899793
298,Alabama,Athens,35613,80593,60539,57881,34.7766286,-86.8419932
299,Alabama,Madison,35758,101327,85287,71138,34.6474493,-86.8534466
300,Alabama,Fort Deposit,36032,63560,52781,51846,32.0180975,-86.6009099
301,Alabama,Tuskegee Institute,36088,50328,36023,42007,32.4628483,-85.7815478
302,Alabama,Shorter,36075,43995,35431,36578,32.3575498,-85.8947986
303,Alabama,Glencoe,35905,53767,43691,45193,33.918413,-85.9183325
304,Alabama,Huntsville,35810,47407,33659,47264,34.7832877,-86.5893471
305,Alabama,Huntsville,35810,38058,30776,26164,34.7679304,-86.6346783
306,Alabama,Huntsville,35810,57474,42104,43712,34.7552435,-86.6030659
307,Alabama,Huntsville,35811,53441,30532,51596,34.7422454,-86.5731181
308,Alabama,Huntsville,35806,49178,42703,35945,34.7227438,-86.6787178
309,Alabama,Huntsville,35801,93252,88860,53694,34.7351055,-86.5436849
310,Alabama,Huntsville,35816,23273,20863,16217,34.7175673,-86.6067012
311,Alabama,Huntsville,35805,37494,22507,45377,34.6875967,-86.6143778
312,Alabama,Huntsville,35502,77007,300000,46110,34.6915398,-86.5750836
313,Alabama,Huntsville,35803,79876,75064,48133,34.6050882,-86.5713234
314,Alabama,Fayette,35555,48781,39117,40468,33.8171345,-87.6438256
315,Alabama,Huntsville,35803,83331,75474,45271,34.6127548,-86.5329573
316,Alabama,New Market,35761,64802,63617,40696,34.917897,-86.3494794
317,Alabama,New Market,35761,56419,48140,40933,34.9504742,-86.5026248
318,Alabama,Madison,35758,75746,64911,48878,34.762748,-86.7550507
319,Alabama,Harvest,35749,80729,69225,55309,34.7912574,-86.7652283
320,Alabama,Huntsville,35811,58474,44095,40051,34.7623828,-86.4951024
321,Alabama,Madison,35758,134609,300000,67906,34.7373139,-86.7646588
322,Alabama,Madison,35758,79792,56372,67825,34.6854417,-86.7645134
323,Alabama,Owens Cross Roads,35763,65716,49914,49851,34.5605701,-86.4793214
324,Alabama,Linden,36748,32346,20988,33541,32.2755299,-87.8084087
325,Alabama,Red Bay,35582,36970,30452,29147,34.5152306,-88.0797797
326,Alabama,Dixons Mills,36736,48416,30152,50464,32.0620795,-87.7277351
327,Alabama,Linden,36748,47449,35339,37198,34.2081076,-87.721786
328,Alabama,Hamilton,35570,50049,32935,57865,34.1982117,-87.949109
329,Alabama,Guin,35563,31017,15096,35883,33.9867017,-87.9021266
330,Alabama,Grant,35747,55987,38909,44664,34.5246512,-86.2046333
331,Alabama,Union Grove,35175,62677,51925,44841,34.4178011,-86.463898
332,Alabama,Arab,35016,58478,300000,38954,34.3314599,-86.4419583
333,Alabama,Guntersville,35976,55796,36870,49992,34.3505036,-86.2555798
334,Alabama,Albertville,35951,61634,300000,46009,34.2684564,-86.1499051
335,Alabama,Albertville,35950,32765,20717,29509,34.2558623,-86.2776418
336,Alabama,Eutaw,35462,30928,20746,31024,32.9585581,-88.0510053
337,Alabama,Boaz,35957,77080,60413,61358,34.211084,-86.1353109
338,Alabama,Mobile,36617,23700,16804,25449,30.711631,-88.0763917
339,Alabama,Mobile,36617,40489,34201,36346,30.7063416,-88.093464
340,Alabama,Mobile,36604,46053,32056,45729,30.6779766,-88.060697
341,Alabama,Mobile,36605,36931,34077,25961,30.668198,-88.0769678
342,Alabama,Mobile,36605,38383,30813,36375,30.6020753,-88.0987938
343,Alabama,Mobile,36605,50132,29059,58102,30.6489528,-88.0983469
344,Alabama,Mobile,36606,70996,68650,47507,30.6798293,-88.0933073
345,Alabama,Mobile,36606,42432,300000,38313,30.6825772,-88.114479
346,Alabama,Mobile,36693,57689,54763,42667,30.6453523,-88.1427778
347,Alabama,Abbeville,36310,40518,25216,39126,31.564689,-85.2591239
348,Alabama,Mobile,36609,35468,14533,41837,30.6610364,-88.1416111
349,Alabama,Mobile,36618,49698,43324,43669,30.7140322,-88.1460227
350,Alabama,Mobile,36608,108483,300000,78388,30.6858694,-88.1588421
351,Alabama,Mobile,36608,58556,42972,51439,30.673824,-88.2030668
352,Alabama,Orange Beach,36561,86000,66868,64338,30.3005856,-87.5417985
353,Alabama,Mobile,36693,64660,56165,41770,30.6267741,-88.1989549
354,Alabama,Mobile,36617,23955,20077,20213,30.721504,-88.1042551
355,Alabama,Whistler,36613,24218,16243,23567,30.7503663,-88.1166709
356,Alabama,Saraland,36571,43803,300000,28268,30.8245364,-88.0784836
357,Alabama,Mount Vernon,36560,48595,41530,38304,31.0707011,-88.0654398
358,Alabama,Wilmer,36587,58182,48215,45160,30.8819066,-88.2158005
359,Alabama,Dothan,36303,75861,55836,69018,31.2357975,-85.4197082
360,Alabama,Semmes,36575,66912,55680,49569,30.7536706,-88.2468888
361,Alabama,Mobile,36695,98744,92467,69504,30.6628949,-88.213545
362,Alabama,Grand Bay,36541,35313,25328,25644,30.5565858,-88.3414467
363,Alabama,Irvington,36544,51099,39571,34541,30.5154023,-88.2381941
364,Alabama,Mobile,36619,48721,46383,37861,30.5839887,-88.1877044
365,Alabama,Mobile,36605,63538,49255,56525,30.4884587,-88.13197
366,Alabama,Mobile,36605,33457,21104,34577,30.6302101,-88.069879
368,Alabama,Monroeville,36461,65025,48748,51291,31.5314913,-87.468258
369,Alabama,Uriah,36480,33553,22348,28976,31.3250054,-87.5991274
370,Alabama,Dothan,36303,41374,27130,43691,31.277139,-85.3841365
371,Alabama,Montgomery,36107,32307,33114,22159,32.3972125,-86.2846517
372,Alabama,Montgmomery,36109,52473,51602,39175,32.3635327,-86.308144
373,Alabama,Montgomery,36108,14023,11494,10200,32.3613688,-86.3289447
374,Alabama,Montgomery,36106,51585,39275,43379,32.3612257,-86.2834307
375,Alabama,Montgomery,36109,47899,300000,34528,32.3732999,-86.2551197
376,Alabama,Montgomery,36111,43562,31912,41835,32.3408795,-86.271527
377,Alabama,Montgomery,36105,33530,29294,19200,32.3356125,-86.3078025
